fighter,elo
Jon Jones,1849.7986449448842
Georges St-Pierre,1800.495144257842
Islam Makhachev,1767.7346275176174
Khabib Nurmagomedov,1721.4575747262804
Amanda Nunes,1719.847248441695
Valentina Shevchenko,1714.9287364587747
Merab Dvalishvili,1699.6659559142436
Demetrious Johnson,1699.4938213854666
Kamaru Usman,1692.2908236331616
Aljamain Sterling,1686.1800300127402
Ilia Topuria,1683.26807951651
Alexandre Pantoja,1681.9924207446725
Alexander Volkanovski,1681.9117219766163
Max Holloway,1681.2961586375382
Belal Muhammad,1680.9903490982294
Francis Ngannou,1678.8997838731839
Magomed Ankalaev,1676.5827249307083
Stipe Miocic,1665.4378620610112
Leon Edwards,1663.7829510068032
Zhang Weili,1663.450386997885
Khamzat Chimaev,1663.3457448776817
Charles Oliveira,1662.8874669827105
Dricus Du Plessis,1654.0334127757235
Daniel Cormier,1646.915524320695
Lerone Murphy,1646.0669151228017
Dustin Poirier,1644.712619898487
Jack Della Maddalena,1644.3051605871217
Alex Pereira,1643.991573160939
Movsar Evloev,1643.7553235407424
Beneil Dariush,1642.297436338272
Ryan Bader,1641.7787019627094
Jon Fitch,1639.7229272251773
Ciryl Gane,1636.78741602947
Cain Velasquez,1635.829495193632
Tom Aspinall,1634.920136234743
Benson Henderson,1633.6703985942877
Michael Bisping,1633.5955758880611
Curtis Blaydes,1629.5143806999654
Grant Dawson,1627.8081072967614
Tj Dillashaw,1627.5007614442552
Robert Whittaker,1625.1444100627182
Arnold Allen,1625.1282860753029
Song Yadong,1624.9584727622785
Shavkat Rakhmonov,1623.8763960742524
Royce Gracie,1623.4259026839488
Sean Brady,1623.3955475324367
Mario Bautista,1622.0651524773743
Arman Tsarukyan,1621.9550359729708
Brendan Allen,1621.13694252329
Israel Adesanya,1619.8894935641172
Ian Machado Garry,1619.8853070119796
Sean O'Malley,1619.8212002823211
Dong Hyun Kim,1618.427446340465
Randy Brown,1616.9108435936312
Petr Yan,1616.5647821763835
Francisco Trinaldo,1616.510742022659
Anthony Hernandez,1616.1421386292056
Conor Mcgregor,1615.1028245977889
Don Frye,1614.9569574466832
Matt Hughes,1614.8366774027345
Cory Sandhagen,1614.7641504943706
Justin Gaethje,1613.122594692825
Henry Cejudo,1612.6679753927149
Rose Namajunas,1612.4903553194883
Sean Strickland,1612.404243767222
Brandon Moreno,1612.281341698317
Nassourdine Imavov,1611.8032243108894
Neil Magny,1611.6367982507827
Alexander Volkov,1610.7818663687876
Jailton Almeida,1609.401266521548
Carlos Ulberg,1608.997882396576
Frank Shamrock,1608.8829676450878
Michael Chiesa,1608.850438707729
Gegard Mousasi,1608.6599528207646
Vicente Luque,1608.5521574050329
Demian Maia,1608.4433984735817
Randy Couture,1607.8588522192108
Glover Teixeira,1606.0907422404023
Paddy Pimblett,1605.8552621889821
Natalia Silva,1605.6277305913954
Montel Jackson,1605.2653062364336
John Lineker,1604.8644491712669
Colby Covington,1604.370885649103
Maycee Barber,1603.142358349481
Joaquin Buckley,1602.2420397706442
Muhammad Mokaev,1601.995287891457
Derrick Lewis,1601.5533063054322
Rustam Khabilov,1601.3394861508411
Michael Morales,1601.2740425482405
Dan Hooker,1601.220557421307
Drakkar Klose,1600.3072740176033
Jake Matthews,1599.8716862128856
Chuck Liddell,1599.3935115117492
Fabricio Werdum,1597.8858680451854
Derek Brunson,1597.7818207451821
Erin Blanchfield,1597.6163392131261
Deiveson Figueiredo,1597.3790303843596
Joshua Van,1597.1553125273667
Norma Dumont,1596.293930542303
Raquel Pennington,1596.147349024626
Yair Rodriguez,1595.9939278955592
Anthony Johnson,1595.455704818476
Mateusz Gamrot,1594.3200455961894
Manon Fiorot,1593.8454000668614
Lyoto Machida,1593.629305405756
Daniel Rodriguez,1592.9365250903056
Nasrat Haqparast,1592.823516110111
Pat Miletich,1591.8245329518809
Jasmine Jasudavicius,1591.6229760832748
Gregor Gillespie,1590.8694455679065
Caio Borralho,1590.6997871405085
Anderson Silva,1590.2857747973076
Tatiana Suarez,1589.4533560392094
Zabit Magomedsharipov,1589.4498136541865
Forrest Griffin,1588.1571165281139
Chris Gutierrez,1587.8808711296965
